ID_Treino,Nome_Exercicio,Carga,Reps
60,Elevacao Lateral,81,7
60,Supino Inclinado,21,11
60,Triceps Pulley,60,13
61,Leg Press,30,11
61,Panturrilha,82,13
61,Remada Curvada,77,15
61,Supino Inclinado,80,12
61,Triceps Pulley,68,12
62,Leg Press,88,12
62,Puxada Frontal,36,8
62,Remada Curvada,107,7
62,Supino Inclinado,102,6
62,Triceps Pulley,11,11
63,Abdominal,13,10
63,Leg Press,74,12
63,Remada Curvada,49,13
64,Panturrilha,97,14
64,Puxada Frontal,19,6
64,Remada Curvada,70,7
64,Supino Reto,58,10
65,Agachamento,30,9
65,Elevacao Lateral,57,15
65,Leg Press,82,8
66,Desenvolvimento,93,13
66,Panturrilha,95,15
66,Puxada Frontal,118,15
66,Rosca Direta,40,11
66,Supino Reto,60,6
67,Abdominal,98,15
67,Leg Press,18,12
67,Remada Curvada,91,14
67,Supino Inclinado,91,10
67,Supino Reto,84,9
68,Abdominal,22,12
68,Agachamento,39,8
68,Desenvolvimento,62,14
68,Elevacao Lateral,64,9
68,Supino Inclinado,20,14
69,Abdominal,97,14
69,Desenvolvimento,13,6
69,Panturrilha,40,15
69,Rosca Direta,46,15
69,Supino Reto,110,7
70,Agachamento,44,9
70,Elevacao Lateral,80,14
70,Puxada Frontal,117,15
70,Supino Inclinado,31,9
71,Abdominal,10,10
71,Agachamento,62,7
71,Puxada Frontal,96,9
71,Rosca Direta,56,11
72,Agachamento,33,12
72,Desenvolvimento,27,11
72,Leg Press,64,15
72,Panturrilha,31,7
72,Remada Curvada,51,10
72,Rosca Direta,65,7
73,Agachamento,118,11
73,Desenvolvimento,105,12
73,Rosca Direta,95,14
74,Agachamento,74,9
74,Desenvolvimento,110,12
74,Elevacao Lateral,27,10
74,Leg Press,44,9
74,Panturrilha,56,10
74,Supino Reto,112,11
75,Abdominal,44,11
75,Desenvolvimento,45,12
75,Elevacao Lateral,94,8
75,Leg Press,79,12
76,Elevacao Lateral,113,12
76,Panturrilha,59,8
76,Remada Curvada,77,7
76,Rosca Direta,54,6
77,Abdominal,15,13
77,Puxada Frontal,24,11
77,Rosca Direta,118,11
77,Supino Inclinado,17,13
78,Desenvolvimento,19,6
78,Elevacao Lateral,100,7
78,Rosca Direta,63,11
78,Supino Inclinado,13,15
79,Agachamento,53,12
79,Leg Press,109,15
79,Remada Curvada,12,7
79,Supino Inclinado,27,13
79,Supino Reto,95,9
79,Triceps Pulley,14,9
80,Abdominal,62,8
80,Agachamento,22,12
80,Desenvolvimento,79,13
80,Leg Press,53,11
80,Triceps Pulley,54,8
81,Desenvolvimento,24,13
81,Leg Press,99,6
81,Puxada Frontal,25,7
81,Remada Curvada,14,7
81,Supino Inclinado,37,14
82,Abdominal,92,15
82,Panturrilha,45,15
82,Puxada Frontal,92,8
83,Agachamento,63,12
83,Desenvolvimento,33,8
83,Elevacao Lateral,34,15
83,Leg Press,33,7
83,Panturrilha,15,14
83,Remada Curvada,15,6
84,Abdominal,12,8
84,Leg Press,64,7
84,Puxada Frontal,77,6
84,Supino Inclinado,114,13
85,Agachamento,76,6
85,Elevacao Lateral,17,12
85,Puxada Frontal,53,12
85,Supino Reto,45,11
85,Triceps Pulley,76,12
86,Agachamento,105,13
86,Desenvolvimento,67,14
86,Elevacao Lateral,95,8
86,Leg Press,93,14
86,Panturrilha,21,9
87,Agachamento,63,13
87,Elevacao Lateral,85,9
87,Panturrilha,19,11
87,Remada Curvada,50,12
87,Supino Reto,25,15
88,Abdominal,51,10
88,Panturrilha,83,7
88,Rosca Direta,66,13
88,Supino Reto,80,13
89,Agachamento,102,9
89,Remada Curvada,17,15
89,Triceps Pulley,20,8
90,Abdominal,85,15
90,Agachamento,53,8
90,Desenvolvimento,81,13
90,Elevacao Lateral,92,11
90,Leg Press,31,12
90,Puxada Frontal,76,10
91,Abdominal,67,9
91,Agachamento,101,14
91,Elevacao Lateral,78,11
91,Panturrilha,100,9
91,Rosca Direta,91,14
91,Triceps Pulley,93,12
92,Agachamento,70,12
92,Leg Press,65,15
92,Rosca Direta,92,14
93,Agachamento,92,14
93,Elevacao Lateral,115,13
93,Leg Press,110,14
94,Panturrilha,18,7
94,Puxada Frontal,58,11
94,Remada Curvada,70,13
94,Rosca Direta,111,11
94,Supino Inclinado,17,9
94,Triceps Pulley,67,6
95,Elevacao Lateral,45,14
95,Panturrilha,24,10
95,Puxada Frontal,22,13
95,Supino Reto,97,11
95,Triceps Pulley,34,12
96,Agachamento,27,8
96,Elevacao Lateral,33,14
96,Panturrilha,43,12
96,Supino Reto,43,11
97,Agachamento,12,10
97,Remada Curvada,42,9
97,Supino Inclinado,10,10
98,Desenvolvimento,38,14
98,Elevacao Lateral,117,14
98,Leg Press,113,14
99,Abdominal,76,7
99,Desenvolvimento,93,11
99,Supino Reto,93,14
100,Abdominal,57,14
100,Agachamento,90,8
100,Elevacao Lateral,113,11
100,Panturrilha,46,12
100,Remada Curvada,99,12
100,Rosca Direta,57,12
101,Leg Press,42,12
101,Panturrilha,63,9
101,Puxada Frontal,95,6
101,Supino Inclinado,35,6
102,Abdominal,94,6
102,Agachamento,117,13
102,Panturrilha,90,8
102,Puxada Frontal,78,15
102,Rosca Direta,88,7
103,Elevacao Lateral,10,13
103,Remada Curvada,61,7
103,Rosca Direta,62,14
103,Supino Inclinado,111,12
104,Leg Press,88,10
104,Remada Curvada,47,9
104,Rosca Direta,111,15
104,Triceps Pulley,46,8
105,Elevacao Lateral,42,9
105,Panturrilha,81,15
105,Puxada Frontal,14,11
105,Rosca Direta,71,12
105,Supino Inclinado,52,9
105,Triceps Pulley,62,9
106,Panturrilha,88,9
106,Remada Curvada,92,15
106,Supino Reto,92,13
107,Leg Press,79,14
107,Puxada Frontal,81,14
107,Supino Inclinado,21,15
108,Panturrilha,72,15
108,Puxada Frontal,60,12
108,Rosca Direta,57,15
109,Agachamento,105,9
109,Leg Press,96,10
109,Panturrilha,108,8
109,Rosca Direta,66,11
109,Supino Reto,54,14
109,Triceps Pulley,36,6
110,Abdominal,20,15
110,Elevacao Lateral,40,14
110,Leg Press,37,6
110,Puxada Frontal,60,8
110,Rosca Direta,104,7
110,Supino Inclinado,35,6
111,Abdominal,16,11
111,Agachamento,40,11
111,Supino Inclinado,55,12
112,Agachamento,94,14
112,Elevacao Lateral,23,7
112,Remada Curvada,94,9
112,Supino Reto,108,15
113,Agachamento,112,11
113,Puxada Frontal,96,13
113,Supino Inclinado,36,10
113,Triceps Pulley,50,10
114,Agachamento,82,7
114,Desenvolvimento,70,13
114,Remada Curvada,37,12
114,Rosca Direta,48,10
114,Supino Inclinado,59,11
114,Triceps Pulley,109,7
115,Abdominal,74,8
115,Agachamento,65,10
115,Panturrilha,95,7
115,Remada Curvada,33,12
115,Supino Reto,98,15
115,Triceps Pulley,111,7
116,Abdominal,72,12
116,Elevacao Lateral,84,11
116,Leg Press,53,12
116,Panturrilha,38,7
116,Supino Inclinado,17,8
117,Desenvolvimento,11,11
117,Elevacao Lateral,69,9
117,Remada Curvada,22,15
117,Rosca Direta,38,11
117,Triceps Pulley,25,6
118,Abdominal,54,14
118,Agachamento,18,13
118,Panturrilha,98,9
118,Supino Inclinado,99,9
118,Triceps Pulley,48,13
119,Desenvolvimento,116,11
119,Puxada Frontal,16,9
119,Remada Curvada,98,7
120,Abdominal,65,7
120,Agachamento,78,13
120,Elevacao Lateral,56,14
120,Leg Press,97,14
120,Rosca Direta,43,9
120,Supino Reto,65,7
121,Desenvolvimento,53,15
121,Elevacao Lateral,93,8
121,Remada Curvada,89,8
121,Rosca Direta,73,12
121,Supino Inclinado,41,12
121,Supino Reto,16,10
122,Agachamento,71,6
122,Leg Press,94,7
122,Panturrilha,63,6
123,Desenvolvimento,34,12
123,Rosca Direta,114,10
123,Supino Inclinado,34,8
124,Desenvolvimento,25,10
124,Elevacao Lateral,69,11
124,Panturrilha,50,15
125,Leg Press,50,15
125,Remada Curvada,61,8
125,Rosca Direta,36,12
125,Supino Reto,95,13
126,Abdominal,23,12
126,Elevacao Lateral,38,7
126,Panturrilha,45,11
126,Remada Curvada,81,6
126,Supino Inclinado,39,9
127,Desenvolvimento,57,10
127,Panturrilha,25,14
127,Puxada Frontal,73,6
127,Rosca Direta,19,9
127,Supino Inclinado,63,8
127,Supino Reto,95,12
128,Elevacao Lateral,105,11
128,Puxada Frontal,106,12
128,Rosca Direta,25,11
128,Supino Inclinado,46,6
129,Elevacao Lateral,115,7
129,Supino Reto,12,15
129,Triceps Pulley,38,7
130,Desenvolvimento,98,10
130,Panturrilha,26,14
130,Puxada Frontal,100,8
131,Agachamento,93,13
131,Desenvolvimento,30,15
131,Panturrilha,103,13
131,Puxada Frontal,86,14
131,Remada Curvada,17,12
131,Triceps Pulley,31,12
132,Desenvolvimento,118,11
132,Rosca Direta,70,15
132,Triceps Pulley,59,12
