SK_Data,Data,Ano,Mes,Dia,Dia_Semana
46,2024-02-27,2024,2,27,Terça-feira
47,2025-11-14,2025,11,14,Sexta-feira
48,2024-08-04,2024,8,4,Domingo
49,2025-02-06,2025,2,6,Quinta-feira
50,2024-06-06,2024,6,6,Quinta-feira
51,2026-04-11,2026,4,11,Sábado
52,2024-07-30,2024,7,30,Terça-feira
53,2026-03-03,2026,3,3,Terça-feira
54,2024-02-18,2024,2,18,Domingo
55,2024-06-20,2024,6,20,Quinta-feira
56,2024-01-09,2024,1,9,Terça-feira
57,2024-07-31,2024,7,31,Quarta-feira
58,2025-10-07,2025,10,7,Terça-feira
59,2025-10-05,2025,10,5,Domingo
60,2025-06-09,2025,6,9,Segunda-feira
61,2024-03-11,2024,3,11,Segunda-feira
62,2024-09-23,2024,9,23,Segunda-feira
63,2025-10-10,2025,10,10,Sexta-feira
64,2025-10-17,2025,10,17,Sexta-feira
65,2024-10-20,2024,10,20,Domingo
66,2025-09-05,2025,9,5,Sexta-feira
67,2025-05-30,2025,5,30,Sexta-feira
68,2025-05-10,2025,5,10,Sábado
69,2024-08-27,2024,8,27,Terça-feira
70,2024-06-07,2024,6,7,Sexta-feira
71,2025-12-29,2025,12,29,Segunda-feira
72,2026-03-31,2026,3,31,Terça-feira
73,2026-04-02,2026,4,2,Quinta-feira
74,2024-11-04,2024,11,4,Segunda-feira
75,2025-09-19,2025,9,19,Sexta-feira
76,2025-04-04,2025,4,4,Sexta-feira
77,2025-11-02,2025,11,2,Domingo
78,2025-05-04,2025,5,4,Domingo
79,2024-10-15,2024,10,15,Terça-feira
80,2025-03-29,2025,3,29,Sábado
81,2024-09-25,2024,9,25,Quarta-feira
82,2024-12-27,2024,12,27,Sexta-feira
83,2024-05-23,2024,5,23,Quinta-feira
84,2026-03-26,2026,3,26,Quinta-feira
85,2025-08-01,2025,8,1,Sexta-feira
86,2025-12-25,2025,12,25,Quinta-feira
87,2025-09-10,2025,9,10,Quarta-feira
88,2024-12-16,2024,12,16,Segunda-feira
89,2024-03-28,2024,3,28,Quinta-feira
90,2024-06-25,2024,6,25,Terça-feira
91,2025-11-25,2025,11,25,Terça-feira
92,2026-02-13,2026,2,13,Sexta-feira
93,2026-04-10,2026,4,10,Sexta-feira
94,2024-10-21,2024,10,21,Segunda-feira
95,2026-02-20,2026,2,20,Sexta-feira
96,2024-05-21,2024,5,21,Terça-feira
97,2024-02-07,2024,2,7,Quarta-feira
98,2024-10-22,2024,10,22,Terça-feira
99,2025-04-28,2025,4,28,Segunda-feira
100,2024-11-17,2024,11,17,Domingo
101,2024-01-13,2024,1,13,Sábado
102,2025-02-23,2025,2,23,Domingo
103,2024-06-02,2024,6,2,Domingo
104,2025-01-05,2025,1,5,Domingo
105,2025-10-21,2025,10,21,Terça-feira
106,2026-02-03,2026,2,3,Terça-feira
107,2024-11-15,2024,11,15,Sexta-feira
108,2025-01-29,2025,1,29,Quarta-feira
109,2025-09-23,2025,9,23,Terça-feira
110,2024-08-14,2024,8,14,Quarta-feira
111,2024-03-22,2024,3,22,Sexta-feira
112,2024-12-26,2024,12,26,Quinta-feira
113,2025-09-27,2025,9,27,Sábado
114,2025-06-28,2025,6,28,Sábado
115,2024-06-16,2024,6,16,Domingo
116,2026-04-09,2026,4,9,Quinta-feira
117,2026-03-14,2026,3,14,Sábado
118,2025-12-31,2025,12,31,Quarta-feira
119,2024-05-06,2024,5,6,Segunda-feira
120,2025-09-12,2025,9,12,Sexta-feira
121,2025-10-24,2025,10,24,Sexta-feira
122,2025-05-07,2025,5,7,Quarta-feira
123,2024-04-14,2024,4,14,Domingo
124,2024-03-18,2024,3,18,Segunda-feira
125,2024-04-05,2024,4,5,Sexta-feira
126,2024-06-09,2024,6,9,Domingo
127,2024-08-13,2024,8,13,Terça-feira
128,2025-06-23,2025,6,23,Segunda-feira
129,2024-04-09,2024,4,9,Terça-feira
130,2025-03-20,2025,3,20,Quinta-feira
131,2025-10-22,2025,10,22,Quarta-feira
132,2025-04-17,2025,4,17,Quinta-feira
133,2025-11-03,2025,11,3,Segunda-feira
134,2026-02-24,2026,2,24,Terça-feira
135,2024-03-08,2024,3,8,Sexta-feira
136,2026-03-12,2026,3,12,Quinta-feira
137,2024-08-16,2024,8,16,Sexta-feira
138,2024-08-25,2024,8,25,Domingo
139,2024-12-30,2024,12,30,Segunda-feira
140,2024-04-19,2024,4,19,Sexta-feira
141,2024-12-14,2024,12,14,Sábado
142,2024-04-13,2024,4,13,Sábado
143,2025-07-03,2025,7,3,Quinta-feira
144,2024-02-26,2024,2,26,Segunda-feira
145,2024-08-18,2024,8,18,Domingo
146,2025-01-04,2025,1,4,Sábado
147,2025-01-21,2025,1,21,Terça-feira
148,2024-07-15,2024,7,15,Segunda-feira
149,2025-08-07,2025,8,7,Quinta-feira
150,2026-01-24,2026,1,24,Sábado
151,2025-01-16,2025,1,16,Quinta-feira
152,2025-02-17,2025,2,17,Segunda-feira
153,2025-07-20,2025,7,20,Domingo
154,2025-03-10,2025,3,10,Segunda-feira
155,2026-01-02,2026,1,2,Sexta-feira
156,2026-01-11,2026,1,11,Domingo
157,2025-12-15,2025,12,15,Segunda-feira
158,2024-02-01,2024,2,1,Quinta-feira
159,2024-03-15,2024,3,15,Sexta-feira
160,2025-07-13,2025,7,13,Domingo
161,2026-01-19,2026,1,19,Segunda-feira
162,2024-08-15,2024,8,15,Quinta-feira
163,2024-12-06,2024,12,6,Sexta-feira
164,2024-02-17,2024,2,17,Sábado
165,2025-06-26,2025,6,26,Quinta-feira
166,2025-06-12,2025,6,12,Quinta-feira
167,2024-07-23,2024,7,23,Terça-feira
168,2024-06-23,2024,6,23,Domingo
169,2025-11-30,2025,11,30,Domingo
170,2025-03-09,2025,3,9,Domingo
171,2025-09-18,2025,9,18,Quinta-feira
172,2025-07-09,2025,7,9,Quarta-feira
173,2024-07-19,2024,7,19,Sexta-feira
174,2024-12-15,2024,12,15,Domingo
175,2026-01-22,2026,1,22,Quinta-feira
176,2026-04-06,2026,4,6,Segunda-feira
177,2024-10-14,2024,10,14,Segunda-feira
178,2026-02-01,2026,2,1,Domingo
179,2024-09-05,2024,9,5,Quinta-feira
180,2024-07-28,2024,7,28,Domingo
181,2024-11-30,2024,11,30,Sábado
182,2024-01-06,2024,1,6,Sábado
183,2024-07-07,2024,7,7,Domingo
184,2026-03-13,2026,3,13,Sexta-feira
185,2024-08-24,2024,8,24,Sábado
186,2025-08-20,2025,8,20,Quarta-feira
187,2026-03-27,2026,3,27,Sexta-feira
188,2025-04-16,2025,4,16,Quarta-feira
189,2025-10-31,2025,10,31,Sexta-feira
190,2025-10-01,2025,10,1,Quarta-feira
191,2024-11-21,2024,11,21,Quinta-feira
192,2025-09-11,2025,9,11,Quinta-feira
193,2024-05-03,2024,5,3,Sexta-feira
194,2025-06-19,2025,6,19,Quinta-feira
195,2026-02-23,2026,2,23,Segunda-feira
196,2025-07-06,2025,7,6,Domingo
197,2025-05-24,2025,5,24,Sábado
198,2025-09-16,2025,9,16,Terça-feira
199,2024-05-17,2024,5,17,Sexta-feira
200,2025-06-15,2025,6,15,Domingo
201,2025-01-12,2025,1,12,Domingo
202,2025-04-22,2025,4,22,Terça-feira
203,2024-12-10,2024,12,10,Terça-feira
204,2025-10-11,2025,10,11,Sábado
205,2024-11-20,2024,11,20,Quarta-feira
206,2024-11-10,2024,11,10,Domingo
207,2024-08-07,2024,8,7,Quarta-feira
208,2024-10-24,2024,10,24,Quinta-feira
209,2026-02-12,2026,2,12,Quinta-feira
210,2025-07-23,2025,7,23,Quarta-feira
211,2024-01-16,2024,1,16,Terça-feira
212,2024-08-30,2024,8,30,Sexta-feira
213,2024-11-29,2024,11,29,Sexta-feira
214,2025-07-10,2025,7,10,Quinta-feira
215,2025-06-10,2025,6,10,Terça-feira
216,2026-01-15,2026,1,15,Quinta-feira
217,2024-09-29,2024,9,29,Domingo
218,2026-03-23,2026,3,23,Segunda-feira
1002,2024-01-21,2024,1,21,Domingo
1003,2024-09-08,2024,9,8,Domingo
1004,2026-03-19,2026,3,19,Quinta-feira
1005,2025-12-28,2025,12,28,Domingo
1006,2025-12-03,2025,12,3,Quarta-feira
1007,2025-11-22,2025,11,22,Sábado
1008,2025-12-06,2025,12,6,Sábado
1009,2025-12-08,2025,12,8,Segunda-feira
1010,2025-03-30,2025,3,30,Domingo
1011,2024-06-05,2024,6,5,Quarta-feira
1012,2024-09-21,2024,9,21,Sábado
1013,2026-03-25,2026,3,25,Quarta-feira
1014,2024-02-28,2024,2,28,Quarta-feira
1015,2024-12-11,2024,12,11,Quarta-feira
1016,2025-05-08,2025,5,8,Quinta-feira
1017,2025-02-01,2025,2,1,Sábado
1018,2025-11-15,2025,11,15,Sábado
1019,2024-08-01,2024,8,1,Quinta-feira
1020,2025-08-24,2025,8,24,Domingo
1021,2024-05-18,2024,5,18,Sábado
1022,2026-04-19,2026,4,19,Domingo
1023,2025-08-02,2025,8,2,Sábado
1024,2024-10-17,2024,10,17,Quinta-feira
1025,2026-01-03,2026,1,3,Sábado
1026,2024-08-11,2024,8,11,Domingo
1027,2026-01-05,2026,1,5,Segunda-feira
1028,2024-01-07,2024,1,7,Domingo
1029,2024-06-03,2024,6,3,Segunda-feira
1030,2025-07-26,2025,7,26,Sábado
1031,2024-08-02,2024,8,2,Sexta-feira
1032,2025-02-26,2025,2,26,Quarta-feira
1033,2026-02-09,2026,2,9,Segunda-feira
1034,2024-11-28,2024,11,28,Quinta-feira
1035,2024-04-11,2024,4,11,Quinta-feira
1036,2026-04-03,2026,4,3,Sexta-feira
1037,2024-03-09,2024,3,9,Sábado
1038,2025-02-08,2025,2,8,Sábado
1039,2025-09-24,2025,9,24,Quarta-feira
1040,2024-10-28,2024,10,28,Segunda-feira
1041,2026-04-29,2026,4,29,Quarta-feira
1042,2025-08-14,2025,8,14,Quinta-feira
1043,2026-03-24,2026,3,24,Terça-feira
1044,2024-03-16,2024,3,16,Sábado
1045,2025-09-21,2025,9,21,Domingo
1046,2024-06-11,2024,6,11,Terça-feira
1047,2025-11-23,2025,11,23,Domingo
